E100,Halal
E101,MUSBOOH
E101(a),Halal
E102,Halal
E103,Halal
E104,Halal
E105,Halal
E106,Halal
E107,Halal
E110,Halal
E111,Halal
E120,Haram
E122,Halal
E123,Halal
E124,Halal
E125,Halal
E126,Halal
E127,Halal
E128,Halal
E129,Halal
E130,Halal
E131,Halal
E132,Halal
E133,Halal
E140,Halal
E141,Halal
E142,Halal
E143,Halal
E150,Halal
E150a,Halal
E150b,Halal
E150c,Halal
E150d,Halal
E151,Halal
E152,Halal
E153,MUSBOOH
E154,Halal
E155,Halal
E160a,Halal
E160b,Halal
E160c,Halal
E160d,Halal
E160e,Halal
E160f,Halal
E161a,Halal
E161b,Halal
E161c,Halal
E161d,Halal
E161e,Halal
E161f,Halal
E161g,MUSBOOH
E161h,Halal
E161i,Halal
E161j,Halal
E162,Halal
E163,Halal
E170,Halal
E171,Halal
E172,Halal
E173,Halal
E174,Halal
E175,Halal
E180,Halal
E181,Halal
E200,Halal
E201,Halal
E202,Halal
E203,Halal
E210,Halal
E211,Halal
E212,Halal
E213,Halal
E214,Halal
E215,Halal
E216,Halal
E217,Halal
E218,Halal
E219,Halal
E220,Halal
E221,Halal
E222,Halal
E223,Halal
E224,Halal
E225,Halal
E226,Halal
E227,Halal
E228,Halal
E230,Halal
E231,Halal
E232,Halal
E233,Halal
E234,Halal
E235,Halal
E236,Halal
E237,Halal
E238,Halal
E239,Halal
E240,Halal
E242,Halal
E249,Halal
E250,Halal
E251,Halal
E252,MUSBOOH
E260,Halal
E261,Halal
262,Halal
E263,Halal
E264,Halal
E270,Halal
E280,Halal
E281,Halal
E282,Halal
E283,Halal
E284,Halal
E285,Halal
E290,MUSBOOH
E296,Halal
E297,Halal
E300,Halal
E301,Halal
E302,Halal
E303,Halal
E304,Halal
E306,Halal
E307,Halal
E308,Halal
E309,Halal
E310,Halal
E311,Halal
E312,Halal
E315,Halal
E316,Halal
E317,Halal
E318,Halal
E319,Halal
E320,Halal
E321,Halal
E322,Halal
E325,Halal
E326,Halal
E327,Halal
E329,Halal
E330,Halal
E331,Halal
E331a,Halal
E331b,Halal
E331c,Halal
E332,Halal
E333,Halal
E334,MUSBOOH
E335,MUSBOOH
E336,MUSBOOH
E337,MUSBOOH
E338,Halal
E339a,Halal
E339b,Halal
E339c,Halal
E340a,Halal
E340b,Halal
E340c,Halal
E341a,Halal
E341b,Halal
E341c,Halal
E343,Halal
E350,Halal
E351,Halal
E352,Halal
E353,MUSBOOH
E354,MUSBOOH
E355,Halal
E356,Halal
E357,Halal
E363,Halal
E365,Halal
E366,Halal
E367,Halal
E370,Halal
E375,Halal
E380,Halal
E381,Halal
E385,Halal
E400,Halal
E401,Halal
E402,Halal
E403,Halal
E404,Halal
E405,Halal
E406,Halal
E407,Halal
E407a,Halal
E410,Halal
E412,Halal
E413,Halal
E414,Halal
E415,Halal
E416,Halal
E417,Halal
E418,Halal
E420,Halal
E420ii,Halal
E421,Halal
E422,MUSBOOH
E425,Halal
E426,Halal
E430,MUSBOOH
E431,MUSBOOH
E432,Halal
E433,MUSBOOH
E434,Halal
E435,MUSBOOH
E436,MUSBOOH
E440a,Halal
E440b,MUSBOOH
E441,MUSBOOH
E442,MUSBOOH
E444,Halal
E445,MUSBOOH
"E450a,b,c",Halal
E450b,Halal
E450c,Halal
E450v,Halal
E451,Halal
E452,Halal
E459,Halal
E460,Halal
E461,Halal
E462,Halal
E463,Halal
E464,Halal
E465,Halal
E466,Halal
E467,Halal
E468,Halal
E469,Halal
E470,MUSBOOH
E470b,MUSBOOH
E471,MUSBOOH
E472,MUSBOOH
E472b,MUSBOOH
E472c,MUSBOOH
E472d,MUSBOOH
E472e,MUSBOOH
E472f,MUSBOOH
E473,MUSBOOH
E474,MUSBOOH
E475,MUSBOOH
E476,MUSBOOH
E477,MUSBOOH
478,MUSBOOH
E479b,MUSBOOH
E481,MUSBOOH
E482,MUSBOOH
E483,MUSBOOH
E491,MUSBOOH
E492,MUSBOOH
E493,Halal
E494,MUSBOOH
E495,Halal
E496,MUSBOOH
E500,Halal
E501,Halal
E503,Halal
E504,Halal
E507,Halal
E508,Halal
E509,Halal
E510,Halal
E511,Halal
E512,Halal
E513,Halal
E514,Halal
E515,Halal
E516,Halal
E517,Halal
E518,Halal
E519,Halal
E520,Halal
E520,Halal
E522,Halal
E523,Halal
E524,Halal
E525,Halal
E526,Halal
E527,Halal
E528,Halal
E529,Halal
E530,Halal
E535,Halal
E536,Halal
E538,Halal
E540,Halal
E541,Halal
E542,MUSBOOH
E543,Halal
E544,Halal
E545,Halal
E550,Halal
E551,Halal
E552,Halal
E553a,Halal
E553,Halal
E554,Halal
E555,Halal
E556,Halal
E558,Halal
E559,Halal
E570,MUSBOOH
E572,MUSBOOH
E574,Halal
E575,Halal
E576,Halal
E577,Halal
E578,Halal
E579,Halal
E585,Halal
E586,Halal
E620,Halal
E621,Halal
E622,Halal
E623,Halal
E624,Halal
E625,Halal
E625,Halal
E627,Halal
E628,Halal
E629,Halal
E630,MUSBOOH
E631,MUSBOOH
E632,MUSBOOH
E633,MUSBOOH
E634,MUSBOOH
E635,MUSBOOH
E636,Halal
E637,Halal
E640,MUSBOOH
E650,Halal
E900,Halal
E901,Halal
E902,Halal
E903,Halal
E904,Halal
E905,Halal
E905a,Halal
E906,Halal
E907,Halal
E908,Halal
E910,MUSBOOH
E912,Halal
E913,Halal
E914,Halal
E915,MUSBOOH
E920,MUSBOOH
E921,MUSBOOH
E922,Halal
E923,Halal
E924,Halal
E925,Halal
E926,Halal
E927,Halal
E927b,Halal
E928,Halal
E930,Halal
E938,Halal
E939,Halal
E940,Halal
E941,Halal
E942,Halal
E943a,Halal
E943b,Halal
E944,Halal
E948,Halal
E949,Halal
E950,Halal
E951,Halal
E952(i),Halal
E952(iiii),Halal
E953,Halal
E954,Halal
E955,Halal
E957,Halal
E959,Halal
E962,Halal
E965,Halal
E965{ii},Halal
E966,Halal
E967,Halal
E968,Halal
E999,Halal
E1000,MUSBOOH
E1100,Halal
E1101,MUSBOOH
E1103,Halal
E1105,Halal
E1200,Halal
E1201,Halal
E1202,Halal
E1203,Halal
E1400,Halal
E1401,Halal
E1402,Halal
E1403,Halal
E1404,Halal
E1405,MUSBOOH
E1410,MUSBOOH
E1412,MUSBOOH
E1413,Halal
E1414,Halal
E1420,Halal
E1421,Halal
E1422,Halal
E1423,MUSBOOH
E1430,MUSBOOH
E1440,Halal
E1441,MUSBOOH
E1442,Halal
E1443,MUSBOOH
E1450,Halal
E1451,Halal
E1505,Halal
E1510,MUSBOOH
E1517,MUSBOOH
E1518,MUSBOOH
E1519,Halal
E1520,Halal
